"","MSFT.Open","MSFT.High","MSFT.Low","MSFT.Close","MSFT.Volume","MSFT.Adjusted","date"
"2020-02-24",167.770004,174.550003,163.229996,170.889999,68311100,168.781143,2020-02-24
"2020-02-25",174.199997,174.839996,167.649994,168.070007,68073300,165.995956,2020-02-25
"2020-02-26",169.710007,173.259995,168.210007,170.169998,56206100,168.070023,2020-02-26
"2020-02-27",163.320007,167.029999,157.979996,158.179993,93174900,156.227982,2020-02-27
"2020-02-28",152.410004,163.710007,152,162.009995,97012700,160.010727,2020-02-28
"2020-03-02",165.309998,172.919998,162.309998,172.789993,71030800,170.6577,2020-03-02
"2020-03-03",173.800003,175,162.259995,164.509995,71677000,162.479874,2020-03-03
"2020-03-04",168.490005,170.699997,165.619995,170.550003,49814400,168.445358,2020-03-04
"2020-03-05",166.050003,170.869995,165.690002,166.270004,47817300,164.218155,2020-03-05
"2020-03-06",162.610001,163.110001,156,161.570007,72821100,159.576172,2020-03-06
"2020-03-09",151,157.75,150,150.619995,70419300,148.761292,2020-03-09
"2020-03-10",158.160004,161.029999,152.580002,160.919998,65354400,158.934174,2020-03-10
"2020-03-11",157.130005,157.699997,151.149994,153.630005,56371600,151.734131,2020-03-11
"2020-03-12",145.300003,153.470001,138.580002,139.059998,93226400,137.343933,2020-03-12
"2020-03-13",147.5,161.910004,140.729996,158.830002,92727400,156.869965,2020-03-13
"2020-03-16",140,149.350006,135,135.419998,87905900,133.748871,2020-03-16
"2020-03-17",140,147.5,135,146.570007,81059800,144.761292,2020-03-17
"2020-03-18",138,146,135.020004,140.399994,81593200,138.667404,2020-03-18
"2020-03-19",142.770004,150.149994,139,142.710007,85922700,140.948898,2020-03-19
"2020-03-20",146,147.100006,135.860001,137.350006,84866200,135.655029,2020-03-20
"2020-03-23",137.009995,140.570007,132.520004,135.979996,78975200,134.301956,2020-03-23
"2020-03-24",143.75,149.600006,141.270004,148.339996,82516700,146.50943,2020-03-24
"2020-03-25",148.910004,154.330002,144.440002,146.919998,75638200,145.106949,2020-03-25
"2020-03-26",148.399994,156.660004,148.369995,156.110001,64568100,154.183533,2020-03-26
"2020-03-27",151.75,154.889999,149.199997,149.699997,57042300,147.852631,2020-03-27
"2020-03-30",152.440002,160.600006,150.009995,160.229996,63420300,158.252686,2020-03-30
"2020-03-31",159.399994,164.779999,156.559998,157.710007,77927200,155.763794,2020-03-31
"2020-04-01",153,157.75,150.820007,152.110001,57969900,150.23291,2020-04-01
"2020-04-02",151.860001,155.479996,150.360001,155.259995,49630700,153.34404,2020-04-02
"2020-04-03",155.100006,157.380005,152.190002,153.830002,41243300,151.931671,2020-04-03
"2020-04-06",160.320007,166.5,157.580002,165.270004,67111700,163.23053,2020-04-06
"2020-04-07",169.589996,170,163.259995,163.490005,62769000,161.472458,2020-04-07
"2020-04-08",165.669998,166.669998,163.5,165.130005,48318200,163.092239,2020-04-08
"2020-04-09",166.360001,167.369995,163.330002,165.139999,51385100,163.102097,2020-04-09
"2020-04-13",164.350006,165.570007,162.300003,165.509995,41905300,163.467514,2020-04-13
"2020-04-14",169,173.75,168,173.699997,52874300,171.556458,2020-04-14
"2020-04-15",171.199997,173.570007,169.240005,171.880005,40940800,169.758926,2020-04-15
"2020-04-16",174.300003,177.279999,172.899994,177.039993,50479600,174.85524,2020-04-16
"2020-04-17",179.5,180,175.869995,178.600006,52765600,176.395996,2020-04-17
"2020-04-20",176.630005,178.75,174.990005,175.059998,36669600,172.899673,2020-04-20
"2020-04-21",173.5,173.669998,166.110001,167.820007,56203700,165.749039,2020-04-21
"2020-04-22",171.389999,174,170.820007,173.520004,34620200,171.378693,2020-04-22
"2020-04-23",174.110001,175.059998,170.910004,171.419998,32790800,169.304611,2020-04-23
"2020-04-24",172.059998,174.559998,170.710007,174.550003,34277600,172.395981,2020-04-24
